MIS_Status,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx
CHGOFF,3250256010,SOUTHERN CALIFORNIA HOME LOAN,WHITTIER,CA,90605,COMMERCEWEST BANK,CA,531210,17661,2008,46,7,1,2,2,1,1,Y,N,17713,200000,0,100000,50000,0,0,0.5,0,1380,19093
P I F,8166514002,ACTION ENTERPRISES,CAMERON PARK,CA,95682,UMPQUA BANK,OR,532490,16398,2005,84,1,1,0,1,1,2,0,N,16436,175000,0,175000,131250,0,0,0.75,0,2520,18956
P I F,1366035010,VMD ROYAL REAL ESTATE CO.,MORENO VALLEY,CA,92553,BANK OF AMERICA NATL ASSOC,NC,531210,16624,2005,36,5,1,0,5,0,1,N,N,16648,20000,0,20000,10000,0,0,0.5,1,1080,17728
P I F,8132923002,"MOVIE MOVERS,ET AL",VAN NUYS,CA,91405,"CITIBANK, N.A.",CA,532120,12843,1995,120,25,1,0,0,1,0,,N,12903,700000,0,700000,595000,0,0,0.85,0,3600,16503
P I F,4358364001,DELAHOOKE APPRAISAL COMPANY,ARCADE,CA,91006,CALIFORNIA STATEWIDE CERT. DEV,CA,531210,15041,2001,240,2,1,3,0,1,1,0,N,15139,181000,0,181000,181000,0,1,1,0,7200,22339
P I F,2741786005,DANNY THOMAS PARTY RENTALS LLC,SUNNYVALE,CA,94087,MORTGAGE CAP. DEVEL CORP,CA,532310,17259,2007,240,3,1,2,0,1,1,0,N,17358,1093000,0,1093000,1093000,0,1,1,0,7200,24558
CHGOFF,7996184004,BLOSSOM VALLEY AVIATION LLC,EL CAJON,CA,92021,WELLS FARGO BANK NATL ASSOC,CA,532411,16370,2005,36,1,1,0,1,1,1,Y,N,16405,45300,0,45000,22500,0,0,0.5,0,1080,17485
CHGOFF,2206206004,CALCOAST ESCROW INC,SAN DIEGO,CA,92108,WELLS FARGO BANK NATL ASSOC,SD,531390,16987,2006,32,4,1,1,5,1,1,Y,N,17013,77538,0,35000,17500,0,0,0.5,1,960,17973
CHGOFF,6348294010,VACATION PROPERTY MANAGEMENT,TRUCKEE,CA,96161,COMERICA BANK,CA,531311,15848,2003,72,8,1,0,0,1,2,N,N,15886,484000,0,484000,363000,0,0,0.75,1,2160,18046
P I F,7596344005,"RECTOR EQUIPMENT RENTALS, INC.",EL CAJON,CA,92020,BANK OF THE WEST,UT,532412,16261,2004,120,11,1,0,0,1,1,N,N,16375,463500,0,463500,347625,0,0,0.75,0,3600,19975
P I F,6090094000,BILL DUNN INC,SAN DIEGO,CA,92116,"CITIBANK, N.A.",FL,531311,15746,2003,60,1,1,0,1,1,1,Y,N,16130,25000,0,25000,12500,0,0,0.5,1,1800,17930
CHGOFF,4472593008,BIG D'S VIDEO,ATWATER,CA,95301,WESTAMERICA BANK,CA,532230,11472,1991,138,3,1,0,0,1,0,N,N,11534,89000,0,89000,80100,0,0,0.9,0,4140,15674
CHGOFF,6449754005,ENDELEDGE VENTURES,BEVERLY HILLS,CA,90211,BBCN BANK,CA,531311,15883,2003,61,1,1,2,1,1,0,0,N,15886,5000,0,5000,4250,0,0,0.85,1,1830,17716
CHGOFF,2182425009,"London Real Estate & Loan, Inc",OAKLAND,CA,94607,U.S. BANK NATIONAL ASSOCIATION,OH,531390,17153,2007,48,3,1,0,3,0,1,Y,N,17166,38876,0,20000,10000,0,0,0.5,0,1440,18606
P I F,9191983003,"LASER DISCOVERY, INC.",SAN MATEO,CA,94403,BANK OF AMERICA CALIFORNIA N.A,CA,532230,13251,1996,84,30,1,0,0,1,0,0,N,13665,200000,0,200000,150000,0,0,0.75,0,2520,16185
P I F,9847594004,WAITE REAL ESTATE GROUP INC,BONITA,CA,91902,JPMORGAN CHASE BANK NATL ASSOC,NV,531210,16834,2006,84,3,1,0,3,1,2,Y,N,16860,92502,0,30000,15000,0,0,0.5,0,2520,19380
P I F,8575204004,"LANGCO, JEFFREY A. LANGLOIS &S",ETIWANDA,CA,91739,PACIFIC WESTERN BANK,CA,532490,16471,2005,84,1,2,0,0,1,1,0,Y,16526,50000,0,50000,42500,1,0,0.85,0,2520,19046
P I F,7496974009,"ALEXIS LIMOUSINE & SEDAN SVC,I",HUNTINGTON BEACH,CA,92648,AURORA BANK FSB,CO,531210,16226,2004,300,25,1,0,25,1,1,0,N,16252,539100,0,539100,404325,0,1,0.75,0,9000,25252
P I F,5263794003,BONNERS EQUIPMENT RENTALS,TUJUNGA,CA,91042,U.S. BANK NATIONAL ASSOCIATION,OH,532411,15407,2002,300,6,1,0,6,1,1,0,N,15521,574000,0,574000,430500,0,1,0.75,0,9000,24521
CHGOFF,2860975010,"STONE COLD PROPERTIES, LLC",LOS ANGELES,CA,90043,CAPITAL ONE BK (USA) NATL ASSO,VA,531312,17513,2008,69,3,1,2,3,0,1,Y,N,17562,101259,0,50000,25000,0,0,0.5,0,2070,19632
CHGOFF,2716236002,MICHAEL A DOMINO LLC,LONG BEACH,CA,90807,JPMORGAN CHASE BANK NATL ASSOC,IL,531312,17241,2007,35,1,1,0,1,1,2,Y,N,17256,65722,0,25000,12500,0,0,0.5,0,1050,18306
P I F,3246744009,"PACIFIC EXECUTIVES, INC.",RIVERSIDE,CA,92504,CDC SMALL BUS. FINAN CORP,CA,531110,14529,2000,240,102,1,23,102,1,1,N,N,14992,771000,0,771000,771000,0,1,1,0,7200,22192
P I F,5250254006,ALLAN K RUEGSEGGER & MERRY ANN,VERNON,CA,90058,CALIFORNIA STATEWIDE CERT. DEV,CA,532220,15403,2002,240,16,1,5,0,1,1,0,N,15566,399000,0,399000,399000,0,1,1,0,7200,22766
CHGOFF,9142564006,AFFORDABLE RENT TO OWN INC,SAN BERNARDINO,CA,92404,COMMERCEWEST BANK,CA,532310,16709,2005,91,4,1,4,4,1,1,0,N,16740,300000,0,300000,225000,0,0,0.75,0,2730,19470
P I F,2143805002,JM Karbowski & Co,WEST SACRAMENTO,CA,95691,U.S. BANK NATIONAL ASSOCIATION,OH,531210,17132,2007,60,1,2,1,2,0,1,N,N,17166,32100,0,32100,16050,1,0,0.5,0,1800,18966
CHGOFF,2750605003,RUPERTO ROSAL AGATON  DBA  Dyn,CITY OF INDUSTRY,CA,91744,CAPITAL ONE BK (USA) NATL ASSO,VA,531210,17449,2008,53,2,1,1,2,0,1,Y,N,17470,68791,0,25000,12500,0,0,0.5,0,1590,19060
CHGOFF,2781796002,VALUATION STRATEGIES INC,AGUANGA,CA,92592,BANCO POPULAR NORTH AMERICA,NY,531320,17289,2007,9,2,1,2,2,1,1,Y,N,17409,92803,0,50000,25000,0,0,0.5,1,270,17679
CHGOFF,6444554005,CRANIAL THERAPIES INC,NORTH HOLLYWOOD,CA,90068,WELLS FARGO BANK NATL ASSOC,SD,532291,15882,2003,28,4,1,3,4,1,1,0,N,15917,150000,0,150000,112500,0,0,0.75,0,840,16757
P I F,1848715005,Dower Corporation,LOS ALAMITOS,CA,90720,U.S. BANK NATIONAL ASSOCIATION,OH,531390,16952,2006,84,2,1,0,2,0,1,Y,N,16982,164554,0,50000,25000,0,0,0.5,0,2520,19502
P I F,2658436004,LISTINGTOSOLD.COM,ANAHEIM,CA,92805,MUFG UNION BANK NATL ASSOC,CA,531210,17199,2007,84,1,2,0,1,1,1,Y,N,17225,17487,0,10000,5000,1,0,0.5,0,2520,19745
P I F,7814974005,"SOLARI ENTERPRISE, INC.",ORANGE,CA,92867,SOUTHLAND ECONOMIC DEVEL CORP,CA,531311,16331,2004,240,8,1,8,0,1,1,N,N,16420,505000,0,505000,505000,0,1,1,0,7200,23620
P I F,9519734010,PEDRO REYES,SAN RAFAEL,CA,94901,MUFG UNION BANK NATL ASSOC,CA,531210,16797,2006,180,21,1,0,21,1,1,0,N,16832,150000,0,150000,127500,0,0,0.85,0,5400,22232
P I F,6378214009,UNITED KLIMENKO REALTY,WHITTIER,CA,90601,"WACHOVIA SBA LENDING, INC.",CA,531210,15861,2003,300,70,1,13,57,1,1,0,N,15917,765000,0,765000,573750,0,1,0.75,0,9000,24917
P I F,3074504010,WILDCAT EQUIPMENT COMPANY,DIXON,CA,95620,FIRST BANK,CA,532412,14445,1999,60,1,2,0,0,1,1,0,Y,14517,78800,0,86400,69120,1,0,0.8,0,1800,16317
CHGOFF,2840485008,Salguero Management,LOS ANGELES,CA,90018,BBCN BANK,CA,531311,17500,2008,59,1,1,0,0,0,1,N,N,17531,25000,0,25000,21250,0,0,0.85,0,1770,19301
P I F,2348216002,NEXT GENERATION REALTY SILICON,SAN JOSE,CA,95138,"CAPITAL ACCESS GROUP, INC.",CA,531210,17035,2006,240,7,1,4,0,1,1,0,N,17267,724000,0,724000,724000,0,1,1,0,7200,24467
CHGOFF,4033125008,Shanahan Enterprises,Rancho Murieta,CA,95683,SAFE CU,CA,531210,18368,2010,59,2,1,5,2,0,1,Y,N,18368,69845,0,35000,17500,0,0,0.5,0,1770,20138
P I F,9319564002,EVERGREEN REALTY,IRVINE,CA,92618,WELLS FARGO BANK NATL ASSOC,SD,531210,16763,2006,60,12,1,0,12,1,1,Y,N,16801,353444,0,172500,86250,0,0,0.5,0,1800,18601
P I F,3994224001,CONTINENTAL REAL ESTATE ALUM R,SAN JOSE,CA,95115,WELLS FARGO BANK NATL ASSOC,CA,531210,14888,2001,300,1,1,0,1,1,1,0,N,14975,333000,0,333000,249750,0,1,0.75,0,9000,23975
CHGOFF,2373455010,"INNOVATIVE REAL ESTATE GROUP,",WOODLAND HILLS,CA,91367,CAPITAL ONE NATL ASSOC,VA,531210,17260,2007,68,20,1,50,20,0,1,N,N,17286,100000,0,100000,50000,0,0,0.5,0,2040,19326
CHGOFF,6748704001,ALL WEST INC,MARYSVILLE,CA,95901,COMMUNITY W. BANK NATL ASSOC,CA,531320,15978,2003,300,4,1,0,4,1,1,0,N,16009,110000,0,110000,93500,0,1,0.85,0,9000,25009
CHGOFF,8774733006,TOP HAT VIDEO,NORTH HIGHLANDS,CA,95660,WELLS FARGO BANK NATL ASSOC,SD,532230,13093,1996,66,4,2,0,0,1,0,N,Y,13179,37000,0,37000,29600,1,0,0.8,0,1980,15159
P I F,3713265003,Mycom Corporation,San Jose,CA,95131,WELLS FARGO BANK NATL ASSOC,SD,531120,18196,2010,300,2,2,2,2,0,1,N,N,18196,446800,0,446800,402120,1,1,0.9,0,9000,27196
P I F,7277444003,MADE IN THE SHADE TENT RENTALS,VACAVILLE,CA,95696,FIRST NORTHERN BANK OF DIXON,CA,532292,16148,2004,96,19,1,0,0,1,1,0,Y,16191,150000,0,150000,127500,0,0,0.85,0,2880,19071
P I F,4416943001,"DALCO TRUCK RENTALS, INC.",SAN LEANDRO,CA,94577,LOANS FROM OLD CLOSED LENDERS,DC,532120,11410,1991,84,9,1,0,0,1,0,N,N,11442,369000,0,369000,295200,0,0,0.8,0,2520,13962
P I F,3371033000,JIMBO'S VIDEO #2,COMPTON,CA,90222,HANMI BANK,CA,532230,10611,1989,300,1,1,0,0,0,0,N,N,10623,93000,0,93000,83700,0,1,0.9,0,9000,19623
P I F,3334525009,VIDEO WORLD,PACIFICA,CA,94044,BBCN BANK,CA,532230,17962,2009,84,2,1,1,2,0,1,N,N,17987,25000,0,25000,21250,0,0,0.85,0,2520,20507
CHGOFF,2752096005,PREMIER CAPITAL BUILDERS INC,CHULA VISTA,CA,91910,JPMORGAN CHASE BANK NATL ASSOC,IL,531390,17267,2007,68,1,1,0,1,1,1,Y,N,17286,61427,0,30000,15000,0,0,0.5,0,2040,19326
CHGOFF,8544284003,SAN DIEGO SHORES REAL ESTATE,SAN DIEGO,CA,92101,CALIFORNIA BANK & TRUST,CA,531210,16464,2005,120,8,1,3,11,1,1,0,N,16495,218300,0,218300,163725,0,0,0.75,0,3600,20095
CHGOFF,5276944010,PETER J GIORDANO,OROVILLE,CA,95966,BANK OF AMERICA NATL ASSOC,NC,532310,15414,2002,36,1,1,0,1,1,1,0,N,15430,30000,0,30000,15000,0,0,0.5,0,1080,16510
P I F,6090264003,SIMPSON FORK LIFT,WEST SACRAMENTO,CA,95660,U.S. BANK NATIONAL ASSOCIATION,OH,532490,15746,2003,120,1,1,1,1,1,1,T,N,15795,191584,0,35000,17500,0,0,0.5,0,3600,19395
P I F,5167854008,LEE UTTERBACH INC.,SAN FRANCISCO,CA,94103,MORTGAGE CAP. DEVEL CORP,CA,532210,15362,2002,240,6,1,0,6,1,1,N,N,15440,331000,0,331000,331000,0,1,1,0,7200,22640
P I F,5977044003,WESTERN/135 LLC,GARDENA,CA,90249,NATIONAL BANK OF CALIFORNIA,CA,531390,15701,2003,300,3,2,0,3,1,1,0,N,15795,100000,0,100000,75000,1,1,0.75,0,9000,24795
P I F,4729183010,"AZTEC BUSINESS MACHINES, INC.",SAN DIEGO,CA,92115,U.S. BANK NATIONAL ASSOCIATION,CA,532420,11742,1992,276,25,1,0,0,1,0,N,N,11808,97500,0,97500,82875,0,1,0.85,0,8280,20088
CHGOFF,2365985005,"Ayala Realty & Investments, In",SAN FRANCISCO,CA,94110,BANK OF AMERICA NATL ASSOC,NC,531210,17255,2007,32,2,1,0,2,0,1,Y,N,17286,49700,0,25000,12500,0,0,0.5,0,960,18246
P I F,2628095001,CARMEN CARR,TRUCKEE,CA,96161,U.S. BANK NATIONAL ASSOCIATION,OH,531210,17387,2007,84,1,1,0,1,0,2,Y,N,17409,161873,0,30000,15000,0,0,0.5,0,2520,19929
P I F,9059193005,PARADISE VIDEO,PARADISE,CA,95969,CALIFORNIA STATEWIDE CERT. DEV,CA,532230,13212,1996,240,6,1,2,4,1,0,N,N,13494,116000,0,157000,157000,0,1,1,0,7200,20694
CHGOFF,6422974001,KOREA VIDEO,SAN DIEGO,CA,92129,WELLS FARGO BANK NATL ASSOC,SD,532230,15875,2003,4,1,1,2,1,1,1,Y,N,15917,45000,0,35000,17500,0,0,0.5,0,120,16037
P I F,1469696008,HANSON & FITCH INC,SALINAS,CA,93905,WELLS FARGO BANK NATL ASSOC,CA,532490,16884,2006,120,6,1,0,6,1,1,0,N,16952,825000,0,825000,618750,0,0,0.75,0,3600,20552
CHGOFF,3503115006,RAFAEL MKRTCHYAN,NORTH HOLLYWOOD,CA,91606,"SUPERIOR FINANCIAL GROUP, LLC",CA,532230,18085,2009,102,2,1,1,2,0,1,N,N,18109,10000,0,10000,9000,0,0,0.9,0,3060,21169
CHGOFF,2737335000,Miguel Castllanos Real Estate,PALMDALE,CA,93551,BANK OF AMERICA NATL ASSOC,NC,531390,17441,2008,37,1,1,0,1,0,1,Y,N,17470,14805,0,10000,5000,0,0,0.5,0,1110,18580
CHGOFF,2251455001,Cj Bennett Investments Llc,THOUSAND OAKS,CA,91360,BBCN BANK,CA,532490,17197,2007,69,1,1,3,1,0,1,N,N,17286,10000,0,10000,8500,0,0,0.85,0,2070,19356
CHGOFF,2560966001,ICONO FINANCIAL SERVICES INC,SAN DIEGO,CA,92123,MUFG UNION BANK NATL ASSOC,CA,531320,17139,2007,32,6,1,0,6,1,1,Y,N,17166,139952,0,50000,25000,0,0,0.5,0,960,18126
CHGOFF,1331095006,SIRCLE SOCCER SPORTS L.L.C.,SYLMAR,CA,91342,CAPITAL ONE NATL ASSOC,VA,532292,16596,2005,58,1,1,0,1,1,1,N,N,16648,35000,0,35000,17500,0,0,0.5,0,1740,18388
CHGOFF,2859255009,Tasco Funding,Berkeley,CA,94703,UMPQUA BANK,OR,531311,17512,2008,110,1,1,0,1,0,1,N,N,17531,25000,0,25000,21250,0,0,0.85,0,3300,20831
P I F,2051944005,MOVIES & MORE,LOS ANGELES,CA,90066,BANK OF AMERICA CALIFORNIA N.A,CA,532230,14011,1998,84,6,1,0,0,1,0,0,N,14030,27000,0,27000,13500,0,0,0.5,0,2520,16550
P I F,6239974003,HARVEY'S TRENCH SHORING INC.,FREMONT,CA,94538,CENTRAL VALLEY COMMUNITY BANK,CA,532412,15805,2003,120,4,2,0,0,1,1,N,N,15856,300000,0,300000,225000,1,0,0.75,0,3600,19456
CHGOFF,4010084010,EMPIRE HOME MEDICAL INC,GRASS VALLEY,CA,95945,COMERICA BANK,TX,532291,14900,2001,106,14,1,2,16,1,1,0,N,14944,400000,0,400000,300000,0,0,0.75,0,3180,18124
P I F,7560924000,UBENETTE ASSOCIATES,CARSON,CA,90746,BANK OF AMERICA NATL ASSOC,NC,532490,16247,2004,84,2,1,0,2,1,1,Y,N,16405,50000,0,50000,25000,0,0,0.5,0,2520,18925
CHGOFF,1216465004,WEST COAST APPRAISAL SERVICE,AGOURA HILLS,CA,91301,BANK OF AMERICA NATL ASSOC,NC,531320,16498,2005,47,7,1,0,7,1,1,N,N,16556,100000,0,100000,50000,0,0,0.5,1,1410,17966
P I F,1118365005,Premnarayan R. Soni dba Ba Ba,APPLE VALLEY,CA,92307,BANK OF AMERICA NATL ASSOC,NC,531311,16408,2005,84,3,1,0,0,1,1,Y,N,16436,50000,0,50000,25000,0,0,0.5,0,2520,18956
CHGOFF,2861455009,Help U Sell Glasgow Realty,LOS ANGELES,CA,90008,BBCN BANK,CA,531210,17513,2008,39,1,1,1,1,0,1,N,N,17531,15000,0,15000,12750,0,0,0.85,0,1170,18701
P I F,5596844003,SOUNDTRONICS WIRELESS,BURBANK,CA,91506,WELLS FARGO BANK NATL ASSOC,CA,532420,15559,2002,36,2,1,1,1,1,1,0,N,15583,150000,0,150000,75000,0,0,0.5,0,1080,16663
P I F,9082604002,"Paramount Finacials, LLC",IRVINE,CA,92618,LANDMARK CERT. DEVEL CORP,CA,531210,16681,2005,240,11,1,9,0,1,1,0,N,16903,433000,0,433000,433000,0,1,1,0,7200,24103
P I F,5485414000,MAUMER INC.,SAN FRANCISCO,CA,94114,"CAPITAL ACCESS GROUP, INC.",CA,532230,15515,2002,240,8,1,0,8,1,1,N,N,15594,1071000,0,1071000,1071000,0,1,1,0,7200,22794
P I F,2343654003,MOVIES & MORE,LOS ANGELES,CA,90066,WILSHIRE BANK,CA,532230,14144,1998,120,2,1,0,0,1,0,0,N,14152,100000,0,100000,80000,0,0,0.8,1,3600,17752
CHGOFF,2716535002,American World Escrow Corporat,RANCHO CUCAMONGA,CA,91730,BANK OF AMERICA NATL ASSOC,NC,531390,17433,2007,66,8,1,8,8,0,1,N,N,17439,100000,0,100000,50000,0,0,0.5,0,1980,19419
CHGOFF,7414164010,PETER S SEWELL,LA MESA,CA,91942,BANK OF AMERICA NATL ASSOC,NC,531210,16197,2004,56,1,1,0,1,1,1,T,N,16252,25000,0,25000,12500,0,0,0.5,1,1680,17932
CHGOFF,6427924007,AUDIO RENT INC,NORTH HOLLYWOOD,CA,91601,PACIFIC WESTERN BANK,CA,532490,15876,2003,300,12,1,2,12,1,1,0,N,15917,700000,0,700000,525000,0,1,0.75,0,9000,24917
CHGOFF,2968976008,SALAZAR REAL ESTATE,SUNNYVALE,CA,94087,JPMORGAN CHASE BANK NATL ASSOC,IL,531110,17413,2007,51,1,1,2,3,1,1,Y,N,17500,60407,0,25000,12500,0,0,0.5,0,1530,19030
P I F,6992584004,VIDEO KOREA,LOS ANGELES,CA,90005,HANMI BANK,CA,532230,16043,2004,12,9,1,0,9,1,1,T,N,16070,100000,0,100000,50000,0,0,0.5,0,360,16430
P I F,1872315003,Provident Mortgage Solutions,PACIFICA,CA,94044,U.S. BANK NATIONAL ASSOCIATION,OH,531390,16966,2006,84,1,1,0,1,0,1,Y,N,17044,10000,0,10000,5000,0,0,0.5,0,2520,19564
P I F,1390566001,Auchante Inc,BELL GARDENS,CA,90201,BANCO POPULAR NORTH AMERICA,NY,531210,16877,2006,73,31,1,69,31,69149,1,Y,N,17225,150000,0,150000,75000,0,0,0.5,0,2190,19415
CHGOFF,1566546000,UNITED HOME LOANS,NEWPORT BEACH,CA,92663,WELLS FARGO BANK NATL ASSOC,SD,531210,16891,2006,48,1,1,1,2,1,1,Y,N,17317,60000,0,30000,15000,0,0,0.5,0,1440,18757
P I F,7109384010,SUNNYSIDE RENTALS,FRESNO,CA,93727,WESTAMERICA BANK,CA,532490,16090,2004,205,3,1,1,3,1,1,0,N,16161,150000,0,150000,127500,0,0,0.85,0,6150,22311
P I F,4352465002,"The Pro Group V Suites, LLC",Fresno,CA,93726,SUNCREST BANK,CA,531190,18571,2011,120,3,2,0,3,0,1,N,N,18597,90000,0,90000,81000,1,0,0.9,0,3600,22197
P I F,1907795008,"First Home, Inc.",SAN FRANCISCO,CA,94129,BANK OF AMERICA NATL ASSOC,NC,531210,16988,2006,42,13,1,0,13,0,1,T,N,17044,64000,0,35000,17500,0,0,0.5,0,1260,18304
P I F,1536045006,GPIMD Inc,LOS ANGELES,CA,90010,U.S. BANK NATIONAL ASSOCIATION,OH,531110,16749,2006,8,4,1,0,4,0,1,Y,N,16770,209210,0,50000,25000,0,0,0.5,0,240,17010
CHGOFF,8421214004,VIDEO BOX,DIAMOND BAR,CA,91765,BBCN BANK,CA,532230,16443,2005,8,4,1,4,4,1,1,0,N,16526,100000,0,100000,50000,0,0,0.5,0,240,16766
P I F,7543314003,SHOW GEAR PRODUCTIONS INC,RANCHO SANTA MARGARITA,CA,92685,OPUS BANK,CA,532210,16244,2004,300,11,1,0,11,1,1,0,N,16283,144000,0,144000,122400,0,1,0.85,0,9000,25283
CHGOFF,2651556002,ULTIMATE REAL ESTATE INVESTMEN,DOWNEY,CA,90241,JPMORGAN CHASE BANK NATL ASSOC,NV,531210,17196,2007,84,4,1,2,4,1,2,Y,N,17378,55077,0,50000,25000,0,0,0.5,0,2520,19898
